escenario_id,dosis_N,momento_N,estrategia_riego,fecha_siembra_offset,densidad,rendimiento_ton_ha,uso_agua_m3_ha,lixiviacion_N_kg_ha,margen_economico_usd_ha,eficiencia_hidrica
0.0,119.79115383005411,2,1,11,77380,8.0,1594.2,6.487,1460.39,0.005018190942165349
1.0,8.963925460867816,0,0,-26,52048,5.2,1594.2,0.372,1035.52,0.003261824112407477
2.0,140.49490728031014,2,1,18,82113,8.0,1594.2,7.608,1450.04,0.005018190942165349
3.0,39.559211898292226,2,0,-16,59042,5.2,1594.2,1.641,1020.22,0.003261824112407477
4.0,62.67037928239321,0,1,-8,64324,8.0,1594.2,3.394,1488.95,0.005018190942165349
5.0,21.085321769271353,0,1,-22,54819,5.2,1594.2,1.142,949.75,0.003261824112407477
6.0,14.836011043033764,2,1,-24,53391,5.2,1594.2,0.803,952.87,0.003261824112407477
7.0,11.24877493153066,1,0,-26,52571,5.2,1594.2,0.467,1034.37,0.003261824112407477
8.0,59.05160228563558,2,1,-9,63497,8.0,1594.2,3.198,1490.76,0.005018190942165349
9.0,173.4236492173655,2,1,29,89639,8.0,1594.2,9.392,1433.58,0.005018190942165349
10.0,2.2022069151859656,2,1,-29,50503,5.2,1594.2,0.119,959.19,0.003261824112407477
11.0,77.25632253902988,2,0,-3,67658,8.0,1594.2,3.205,1561.37,0.005018190942165349
12.0,134.24647207971768,0,1,16,80684,8.0,1594.2,7.27,1453.17,0.005018190942165349
13.0,84.62033435355208,2,1,0,69341,8.0,1594.2,4.583,1477.98,0.005018190942165349
14.0,54.44805030410434,1,1,-11,62445,8.0,1594.2,2.949,1493.06,0.005018190942165349
15.0,160.20466447375324,0,1,24,86618,8.0,1594.2,8.676,1440.19,0.005018190942165349
16.0,113.55895324544457,1,1,8,75956,8.0,1594.2,6.15,1463.51,0.005018190942165349
17.0,90.77663960363537,1,1,1,70748,8.0,1594.2,4.916,1474.9,0.005018190942165349
18.0,70.60329089802595,1,1,-5,66137,8.0,1594.2,3.824,1484.99,0.005018190942165349
19.0,43.28917460307277,1,0,-15,59894,5.2,1594.2,1.796,1018.35,0.003261824112407477
20.0,151.34669290970118,0,1,21,84593,8.0,1594.2,8.196,1444.62,0.005018190942165349
21.0,107.25915911154546,0,1,6,74516,8.0,1594.2,5.809,1466.66,0.005018190942165349
22.0,35.102556914617836,1,1,-17,58023,5.2,1594.2,1.901,942.74,0.003261824112407477
23.0,115.8740760753723,1,1,9,76485,8.0,1594.2,6.275,1462.35,0.005018190942165349
24.0,46.275657760241835,0,1,-14,60577,8.0,1594.2,2.506,1497.15,0.005018190942165349
25.0,132.3187645225181,0,1,15,80244,8.0,1594.2,7.166,1454.13,0.005018190942165349
26.0,92.86647648695536,0,1,1,71226,8.0,1594.2,5.029,1473.86,0.005018190942165349
27.0,167.8466868197447,2,1,27,88364,8.0,1594.2,9.09,1436.37,0.005018190942165349
28.0,65.95998677776358,2,1,-7,65076,8.0,1594.2,3.572,1487.31,0.005018190942165349
29.0,67.6093286636514,2,1,-6,65453,8.0,1594.2,3.661,1486.48,0.005018190942165349
30.0,98.89333245432265,1,1,3,72604,8.0,1594.2,5.356,1470.84,0.005018190942165349
31.0,161.11371593648025,2,0,25,86825,8.0,1594.2,6.684,1519.44,0.005018190942165349
32.0,138.85961124651647,1,1,17,81739,8.0,1594.2,7.52,1450.86,0.005018190942165349
33.0,149.20339102887795,1,0,21,84103,8.0,1594.2,6.19,1525.4,0.005018190942165349
34.0,29.85655466053467,2,0,-19,56824,5.2,1594.2,1.239,1025.07,0.003261824112407477
35.0,51.836850243205,1,1,-12,61848,8.0,1594.2,2.807,1494.37,0.005018190942165349
36.0,97.54527473132585,2,1,3,72296,8.0,1594.2,5.283,1471.52,0.005018190942165349
37.0,127.83503275820921,2,0,13,79219,8.0,1594.2,5.304,1536.08,0.005018190942165349
38.0,34.2058172783219,0,1,-18,57818,5.2,1594.2,1.852,943.19,0.003261824112407477
39.0,144.6556510186112,2,0,19,83064,8.0,1594.2,6.002,1527.67,0.005018190942165349
40.0,75.46996828394684,0,0,-4,67250,8.0,1594.2,3.131,1562.26,0.005018190942165349
41.0,154.58562631379758,2,0,23,85333,8.0,1594.2,6.414,1522.71,0.005018190942165349
42.0,102.54907214299213,2,0,5,73439,8.0,1594.2,4.255,1548.72,0.005018190942165349
43.0,110.90671675516283,0,1,8,75350,8.0,1594.2,6.006,1464.84,0.005018190942165349
44.0,168.58709069511679,0,0,27,88534,8.0,1594.2,6.995,1515.71,0.005018190942165349
45.0,4.183324748761193,2,0,-28,50956,5.2,1594.2,0.174,1037.91,0.003261824112407477
46.0,124.64382567339437,1,0,12,78490,8.0,1594.2,5.171,1537.68,0.005018190942165349
47.0,26.990851636244148,0,1,-20,56169,5.2,1594.2,1.462,946.79,0.003261824112407477
48.0,81.61126573608757,1,0,-2,68654,8.0,1594.2,3.386,1559.19,0.005018190942165349
49.0,20.510866307367415,1,0,-22,54688,5.2,1594.2,0.851,1029.74,0.003261824112407477
